timestamp,frame_number,object_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,zone_violation,zone_name,track_length,movement_status
2025-09-27T14:04:08.664946,2,,person,0.951513946056366,142,205,498,479,0,0,False,,0,
2025-09-27T14:04:12.281442,3,,person,0.9458099603652954,142,205,497,479,0,0,False,,0,
2025-09-27T14:04:27.564611,4,,person,0.956841230392456,145,209,497,479,0,0,False,,0,
2025-09-27T14:07:24.543480,1,,person,0.9577623009681702,133,202,490,479,0,0,False,,0,
2025-09-27T14:07:24.851766,2,,person,0.948931872844696,137,207,489,479,0,0,False,,0,
2025-09-27T14:07:25.290146,3,,person,0.9486417174339294,137,207,489,479,0,0,False,,0,
2025-09-27T14:07:25.777307,4,,person,0.9474227428436279,137,207,490,479,0,0,False,,0,
2025-09-27T14:07:26.217924,5,,person,0.9516584873199463,137,207,489,479,0,0,False,,0,
2025-09-27T14:07:26.848958,6,,person,0.9484263062477112,138,207,489,479,0,0,False,,0,
2025-09-27T14:07:27.384875,7,,person,0.9514651894569397,138,207,489,479,0,0,False,,0,
2025-09-27T14:07:27.884165,8,,person,0.9518315196037292,137,208,489,479,0,0,False,,0,
2025-09-27T14:07:28.483383,9,,person,0.9520641565322876,136,208,489,479,0,0,False,,0,
2025-09-27T14:07:29.115310,10,,person,0.9506104588508606,138,207,489,479,0,0,False,,0,
2025-09-27T14:07:29.614620,11,,person,0.9487535953521729,138,207,489,479,0,0,False,,0,
2025-09-27T14:07:30.223523,12,,person,0.9493946433067322,138,208,489,479,0,0,False,,0,
2025-09-27T14:07:30.813064,13,,person,0.9507220983505249,135,208,488,479,0,0,False,,0,
2025-09-27T14:07:31.300274,14,,person,0.9505654573440552,133,208,488,479,0,0,False,,0,
2025-09-27T14:07:31.927957,15,,person,0.94898521900177,133,208,489,479,0,0,False,,0,
2025-09-27T14:07:32.547594,16,,person,0.9481432437896729,132,220,487,479,0,0,False,,0,
2025-09-27T14:07:33.059254,17,,person,0.927961528301239,128,230,478,479,0,0,False,,0,
2025-09-27T14:07:33.698130,18,,person,0.906909167766571,112,238,459,479,0,0,False,,0,
2025-09-27T14:07:34.226471,19,,person,0.9110967516899109,113,236,450,479,0,0,False,,0,
2025-09-27T14:07:34.784366,20,,person,0.9296706318855286,126,226,475,479,0,0,False,,0,
2025-09-27T14:07:35.430537,21,,person,0.9491870999336243,148,224,488,479,0,0,False,,0,
2025-09-27T14:07:35.930325,22,,person,0.931816041469574,137,220,489,479,0,0,False,,0,
2025-09-27T14:07:36.500124,23,,person,0.9424375891685486,146,224,478,479,0,0,False,,0,
2025-09-27T14:07:37.127301,24,,person,0.9433065056800842,137,217,484,479,0,0,False,,0,
2025-09-27T14:07:37.651617,25,,person,0.9339330196380615,133,221,488,479,0,0,False,,0,
2025-09-27T14:07:38.146224,26,,person,0.9263525605201721,141,227,480,479,0,0,False,,0,
2025-09-27T14:07:38.818007,27,,person,0.941988468170166,142,227,483,479,0,0,False,,0,
2025-09-27T14:07:39.379417,28,,person,0.857966423034668,120,213,478,479,0,0,False,,0,
2025-09-27T14:07:39.976972,29,,person,0.9445606470108032,136,212,481,479,0,0,False,,0,
2025-09-27T14:07:40.585587,30,,person,0.9435519576072693,140,214,474,479,0,0,False,,0,
2025-09-27T14:07:41.057291,31,,person,0.9541393518447876,147,215,472,479,0,0,False,,0,
2025-09-27T14:07:41.690678,32,,person,0.8741770386695862,68,214,470,479,0,0,False,,0,
2025-09-27T14:07:42.233857,33,,person,0.9350771307945251,136,214,513,479,0,0,False,,0,
2025-09-27T14:07:42.717027,34,,person,0.8463718295097351,116,214,548,479,0,0,False,,0,
2025-09-27T14:07:43.306304,35,,person,0.8707388043403625,101,218,514,479,0,0,False,,0,
2025-09-27T14:07:44.179989,36,,person,0.8924860954284668,94,219,521,479,0,0,False,,0,
2025-09-27T14:07:44.849027,37,,person,0.875605046749115,63,220,546,479,0,0,False,,0,
2025-09-27T14:07:45.454437,38,,person,0.8314172625541687,80,219,608,479,0,0,False,,0,
2025-09-27T14:07:45.964449,39,,person,0.8643113374710083,80,224,567,479,0,0,False,,0,
2025-09-27T14:07:46.531905,40,,person,0.8837315440177917,77,225,554,479,0,0,False,,0,
2025-09-27T14:07:47.191706,41,,person,0.8627976775169373,67,226,573,479,0,0,False,,0,
2025-09-27T14:07:47.716574,42,,person,0.8661538362503052,31,225,580,479,0,0,False,,0,
2025-09-27T14:07:48.302084,43,,person,0.8707544207572937,77,224,590,479,0,0,False,,0,
2025-09-27T14:07:48.887799,44,,person,0.8698019981384277,47,220,599,479,0,0,False,,0,
2025-09-27T14:07:49.344833,45,,person,0.8819207549095154,75,223,574,479,0,0,False,,0,
2025-09-27T14:07:49.940894,46,,person,0.8601155281066895,35,226,584,479,0,0,False,,0,
2025-09-27T14:07:50.483517,47,,person,0.8779701590538025,55,226,580,479,0,0,False,,0,
2025-09-27T14:07:50.952392,48,,person,0.8691563606262207,62,225,585,479,0,0,False,,0,
2025-09-27T14:07:51.580315,49,,person,0.8761444091796875,75,226,576,479,0,0,False,,0,
2025-09-27T14:07:52.162642,50,,person,0.868119478225708,90,227,577,479,0,0,False,,0,
2025-09-27T14:07:52.624187,51,,person,0.8509369492530823,58,225,599,479,0,0,False,,0,
2025-09-27T14:07:53.278935,52,,person,0.8500562310218811,98,223,585,479,0,0,False,,0,
2025-09-27T14:07:53.741765,53,,person,0.9485170841217041,138,201,520,479,0,0,False,,0,
2025-09-27T14:07:54.153353,54,,person,0.9303758144378662,132,195,520,479,0,0,False,,0,
2025-09-27T14:07:54.661241,55,,person,0.9303554892539978,128,198,510,479,0,0,False,,0,
